Image Number,Image,Predication Number,Label Name,Confidence,Pixel Area Mask,cm Area Mask,Pixel Length,cm Length ,Pixel Width,cm Width ,Box Rotation Degrees,Validation Number,Pixel Area Validation,Pixel Length Validation,Pixel Width Validation,Box Rotation Degrees Validation,Pixel Area Accuracy %,Pixel Length Accuracy %,Pixel Width Accuracy %,Box Rotation Degrees Accuracy %,IOU %,Prediction,Validation,Prediction & Validation,Predication No Validation,Validation No Predication,Catalogue Number,Scientific Name (intepreted),Country - parsed,Latitude - original,Decimal latitude (WGS84),Decimal longitude (WGS84),Coordinate Uncertainty in Metres
597,NSW528838,18,fullLeaf,85,6161,6.85,148,4.93,70,2.33,116,,,,,,,,,,,0,0,0,0,0,NSW528838,Syzygium oleosum,Australia,-20.0417,-20.0417,148.475,1600
597,NSW528838,19,fullLeaf,83,2982,3.31,98,3.27,43,1.43,70,,,,,,,,,,,0,0,0,0,0,NSW528838,Syzygium oleosum,Australia,-20.0417,-20.0417,148.475,1600
597,NSW528838,20,fullLeaf,81,4693,5.21,136,4.53,58,1.93,136,,,,,,,,,,,0,0,0,0,0,NSW528838,Syzygium oleosum,Australia,-20.0417,-20.0417,148.475,1600
597,NSW528838,21,fullLeaf,79,4320,4.8,128,4.27,74,2.47,127,,,,,,,,,,,0,0,0,0,0,NSW528838,Syzygium oleosum,Australia,-20.0417,-20.0417,148.475,1600
598,NSW528839,1,fullLeaf,95,12253,13.61,208,6.93,93,3.1,55,,,,,,,,,,,0,0,0,0,0,NSW528839,Syzygium oleosum,Australia,-21.075,-21.075,148.6417,1600
598,NSW528839,2,fullLeaf,93,24732,27.48,236,7.87,151,5.03,116,,,,,,,,,,,0,0,0,0,0,NSW528839,Syzygium oleosum,Australia,-21.075,-21.075,148.6417,1600
598,NSW528839,3,fullLeaf,88,17854,19.84,228,7.6,121,4.03,108,,,,,,,,,,,0,0,0,0,0,NSW528839,Syzygium oleosum,Australia,-21.075,-21.075,148.6417,1600
598,NSW528839,4,fullLeaf,72,14162,15.74,216,7.2,108,3.6,62,,,,,,,,,,,0,0,0,0,0,NSW528839,Syzygium oleosum,Australia,-21.075,-21.075,148.6417,1600
599,NSW528841,1,fullLeaf,97,5393,5.99,116,3.87,63,2.1,43,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,2,fullLeaf,97,4865,5.41,144,4.8,58,1.93,0,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,3,fullLeaf,96,4839,5.38,130,4.33,53,1.77,142,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,4,fullLeaf,96,5820,6.47,144,4.8,60,2,0,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,5,fullLeaf,94,7026,7.81,172,5.73,62,2.07,24,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,6,fullLeaf,94,5218,5.8,128,4.27,59,1.97,129,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,7,fullLeaf,94,8972,9.97,156,5.2,96,3.2,154,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,8,fullLeaf,93,5519,6.13,144,4.8,63,2.1,115,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,9,fullLeaf,93,7345,8.16,192,6.4,58,1.93,9,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,10,fullLeaf,92,5226,5.81,140,4.67,60,2,122,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,11,fullLeaf,91,5623,6.25,156,5.2,60,2,114,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,12,fullLeaf,89,7527,8.36,152,5.07,75,2.5,120,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,13,fullLeaf,89,3029,3.37,112,3.73,40,1.33,144,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,14,fullLeaf,87,3946,4.38,140,4.67,45,1.5,1,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,15,fullLeaf,86,5656,6.28,152,5.07,61,2.03,99,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,16,fullLeaf,82,4857,5.4,116,3.87,65,2.17,135,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,17,fullLeaf,78,3777,4.2,130,4.33,45,1.5,119,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,18,fullLeaf,78,6225,6.92,122,4.07,72,2.4,139,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,19,fullLeaf,74,5318,5.91,124,4.13,65,2.17,3,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,20,fullLeaf,72,4957,5.51,124,4.13,61,2.03,98,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
599,NSW528841,21,fullLeaf,72,2318,2.58,84,2.8,46,1.53,132,,,,,,,,,,,0,0,0,0,0,NSW528841,Syzygium oleosum,Australia,-17.27,-17.27,145.47,2000
600,NSW528843,1,fullLeaf,95,7945,8.83,154,5.13,67,2.23,135,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,2,fullLeaf,94,5193,5.77,128,4.27,63,2.1,50,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,3,fullLeaf,93,4423,4.91,116,3.87,54,1.8,7,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,4,fullLeaf,92,2773,3.08,92,3.07,45,1.5,126,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,5,fullLeaf,91,4764,5.29,116,3.87,60,2,149,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,6,fullLeaf,91,3276,3.64,108,3.6,46,1.53,17,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,7,fullLeaf,90,5237,5.82,134,4.47,62,2.07,142,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,8,fullLeaf,89,4238,4.71,112,3.73,56,1.87,45,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,9,fullLeaf,89,4935,5.48,118,3.93,63,2.1,108,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,10,fullLeaf,89,7943,8.83,170,5.67,77,2.57,10,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,11,fullLeaf,88,2759,3.07,76,2.53,53,1.77,59,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,12,fullLeaf,86,4447,4.94,116,3.87,60,2,148,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,13,fullLeaf,84,2685,2.98,86,2.87,46,1.53,4,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,14,fullLeaf,83,4110,4.57,112,3.73,57,1.9,54,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,15,fullLeaf,77,4164,4.63,120,4,53,1.77,144,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,16,fullLeaf,77,4362,4.85,110,3.67,61,2.03,0,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
600,NSW528843,17,fullLeaf,74,3875,4.31,106,3.53,52,1.73,118,,,,,,,,,,,0,0,0,0,0,NSW528843,Syzygium oleosum,Australia,-17.27,-17.27,145.47,9700
601,NSW528844,1,fullLeaf,76,2141,2.38,84,2.8,37,1.23,81,,,,,,,,,,,0,0,0,0,0,NSW528844,Syzygium oleosum,Australia,,,,
602,NSW528846,1,fullLeaf,87,3526,3.92,130,4.33,47,1.57,0,,,,,,,,,,,0,0,0,0,0,NSW528846,Syzygium smithii,Australia,-28.87,-28.87,153.57,2000
602,NSW528846,2,fullLeaf,84,7012,7.79,162,5.4,76,2.53,62,,,,,,,,,,,0,0,0,0,0,NSW528846,Syzygium smithii,Australia,-28.87,-28.87,153.57,2000
602,NSW528846,3,fullLeaf,80,7598,8.44,140,4.67,83,2.77,127,,,,,,,,,,,0,0,0,0,0,NSW528846,Syzygium smithii,Australia,-28.87,-28.87,153.57,2000
602,NSW528846,4,fullLeaf,73,8365,9.29,146,4.87,95,3.17,148,,,,,,,,,,,0,0,0,0,0,NSW528846,Syzygium smithii,Australia,-28.87,-28.87,153.57,2000
602,NSW528846,5,fullLeaf,70,6055,6.73,140,4.67,68,2.27,128,,,,,,,,,,,0,0,0,0,0,NSW528846,Syzygium smithii,Australia,-28.87,-28.87,153.57,2000
603,NSW528847,1,fullLeaf,85,13112,14.57,210,7,105,3.5,124,,,,,,,,,,,0,0,0,0,0,NSW528847,Syzygium smithii,Australia,-29.27,-29.27,153.32,5000
603,NSW528847,2,fullLeaf,81,13508,15.01,242,8.07,97,3.23,118,,,,,,,,,,,0,0,0,0,0,NSW528847,Syzygium smithii,Australia,-29.27,-29.27,153.32,5000
603,NSW528847,3,fullLeaf,80,6959,7.73,128,4.27,71,2.37,1,,,,,,,,,,,0,0,0,0,0,NSW528847,Syzygium smithii,Australia,-29.27,-29.27,153.32,5000
603,NSW528847,4,fullLeaf,73,10158,11.29,168,5.6,97,3.23,6,,,,,,,,,,,0,0,0,0,0,NSW528847,Syzygium smithii,Australia,-29.27,-29.27,153.32,5000
604,NSW528848,1,fullLeaf,92,3188,3.54,120,4,44,1.47,154,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,2,fullLeaf,91,4543,5.05,130,4.33,57,1.9,22,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,3,fullLeaf,88,3911,4.35,138,4.6,47,1.57,94,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,4,fullLeaf,88,4075,4.53,136,4.53,53,1.77,10,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,5,fullLeaf,88,3694,4.1,118,3.93,47,1.57,138,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,6,fullLeaf,87,3025,3.36,106,3.53,45,1.5,10,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,7,fullLeaf,86,4839,5.38,130,4.33,51,1.7,24,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,8,fullLeaf,85,4793,5.33,152,5.07,53,1.77,16,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,9,fullLeaf,85,3665,4.07,134,4.47,42,1.4,1,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,10,fullLeaf,83,3776,4.2,102,3.4,58,1.93,83,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,11,fullLeaf,83,2880,3.2,94,3.13,43,1.43,32,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,12,fullLeaf,80,1588,1.76,74,2.47,31,1.03,1,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,13,fullLeaf,75,5106,5.67,122,4.07,61,2.03,124,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,14,fullLeaf,72,2560,2.84,88,2.93,44,1.47,18,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
604,NSW528848,15,fullLeaf,71,2625,2.92,96,3.2,36,1.2,17,,,,,,,,,,,0,0,0,0,0,NSW528848,Syzygium smithii,Australia,-30.3,-30.3,152.75,5000
605,NSW528850,1,fullLeaf,90,1871,2.08,76,2.53,41,1.37,145,,,,,,,,,,,0,0,0,0,0,NSW528850,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
605,NSW528850,2,fullLeaf,85,3730,4.14,102,3.4,49,1.63,13,,,,,,,,,,,0,0,0,0,0,NSW528850,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
605,NSW528850,3,fullLeaf,79,2752,3.06,132,4.4,45,1.5,82,,,,,,,,,,,0,0,0,0,0,NSW528850,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
605,NSW528850,4,fullLeaf,78,5384,5.98,174,5.8,70,2.33,89,,,,,,,,,,,0,0,0,0,0,NSW528850,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
605,NSW528850,5,fullLeaf,77,6189,6.88,162,5.4,61,2.03,62,,,,,,,,,,,0,0,0,0,0,NSW528850,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
605,NSW528850,6,fullLeaf,71,3521,3.91,140,4.67,50,1.67,94,,,,,,,,,,,0,0,0,0,0,NSW528850,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
606,NSW528851,1,fullLeaf,96,3624,4.03,118,3.93,52,1.73,129,,,,,,,,,,,0,0,0,0,0,NSW528851,Syzygium oleosum,Australia,-16.25,-16.25,145.17,
606,NSW528851,2,fullLeaf,84,2815,3.13,126,4.2,39,1.3,10,,,,,,,,,,,0,0,0,0,0,NSW528851,Syzygium oleosum,Australia,-16.25,-16.25,145.17,
606,NSW528851,3,fullLeaf,78,5333,5.93,142,4.73,66,2.2,110,,,,,,,,,,,0,0,0,0,0,NSW528851,Syzygium oleosum,Australia,-16.25,-16.25,145.17,
606,NSW528851,4,fullLeaf,75,1775,1.97,102,3.4,28,0.93,0,,,,,,,,,,,0,0,0,0,0,NSW528851,Syzygium oleosum,Australia,-16.25,-16.25,145.17,
606,NSW528851,5,fullLeaf,74,3913,4.35,134,4.47,49,1.63,1,,,,,,,,,,,0,0,0,0,0,NSW528851,Syzygium oleosum,Australia,-16.25,-16.25,145.17,
607,NSW528852,1,fullLeaf,83,3486,3.87,104,3.47,49,1.63,16,,,,,,,,,,,0,0,0,0,0,NSW528852,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
607,NSW528852,2,fullLeaf,82,2397,2.66,106,3.53,36,1.2,104,,,,,,,,,,,0,0,0,0,0,NSW528852,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
607,NSW528852,3,fullLeaf,82,2899,3.22,102,3.4,48,1.6,50,,,,,,,,,,,0,0,0,0,0,NSW528852,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
607,NSW528852,4,fullLeaf,76,2864,3.18,132,4.4,49,1.63,48,,,,,,,,,,,0,0,0,0,0,NSW528852,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
607,NSW528852,5,fullLeaf,72,2860,3.18,80,2.67,47,1.57,1,,,,,,,,,,,0,0,0,0,0,NSW528852,Syzygium dansiei,Australia,-16.2917,-16.2917,145.0917,1600
608,NSW528853,1,fullLeaf,94,3695,4.11,118,3.93,46,1.53,2,,,,,,,,,,,0,0,0,0,0,NSW528853,Syzygium dansiei,Australia,-16.25,-16.25,145.08,
608,NSW528853,2,fullLeaf,91,1281,1.42,84,2.8,28,0.93,6,,,,,,,,,,,0,0,0,0,0,NSW528853,Syzygium dansiei,Australia,-16.25,-16.25,145.08,
608,NSW528853,3,fullLeaf,88,3752,4.17,108,3.6,54,1.8,125,,,,,,,,,,,0,0,0,0,0,NSW528853,Syzygium dansiei,Australia,-16.25,-16.25,145.08,
608,NSW528853,4,fullLeaf,88,2746,3.05,86,2.87,53,1.77,0,,,,,,,,,,,0,0,0,0,0,NSW528853,Syzygium dansiei,Australia,-16.25,-16.25,145.08,
608,NSW528853,5,fullLeaf,77,2205,2.45,88,2.93,45,1.5,143,,,,,,,,,,,0,0,0,0,0,NSW528853,Syzygium dansiei,Australia,-16.25,-16.25,145.08,
608,NSW528853,6,fullLeaf,71,2146,2.38,92,3.07,34,1.13,23,,,,,,,,,,,0,0,0,0,0,NSW528853,Syzygium dansiei,Australia,-16.25,-16.25,145.08,
609,NSW528855,1,fullLeaf,97,18665,20.74,230,7.67,120,4,155,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,2,fullLeaf,96,6936,7.71,150,5,72,2.4,160,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,3,fullLeaf,83,13911,15.46,168,5.6,118,3.93,28,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,4,fullLeaf,79,8491,9.43,174,5.8,78,2.6,109,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,5,fullLeaf,78,9313,10.35,170,5.67,80,2.67,108,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,6,fullLeaf,75,12925,14.36,176,5.87,104,3.47,119,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,7,fullLeaf,74,13210,14.68,176,5.87,102,3.4,0,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
609,NSW528855,8,fullLeaf,74,10556,11.73,164,5.47,88,2.93,88,,,,,,,,,,,0,0,0,0,0,NSW528855,Syzygium johnsonii,Australia,-19.25,-19.25,146.42,
610,NSW528856,1,fullLeaf,91,7654,8.5,134,4.47,79,2.63,60,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,2,fullLeaf,91,7460,8.29,150,5,73,2.43,13,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,3,fullLeaf,91,7783,8.65,154,5.13,75,2.5,0,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,4,fullLeaf,87,5141,5.71,144,4.8,56,1.87,139,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,5,fullLeaf,86,7936,8.82,148,4.93,77,2.57,100,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,6,fullLeaf,84,5893,6.55,130,4.33,72,2.4,156,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,7,fullLeaf,80,6271,6.97,134,4.47,63,2.1,0,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,8,fullLeaf,76,9508,10.56,194,6.47,80,2.67,26,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,9,fullLeaf,74,5157,5.73,124,4.13,61,2.03,39,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
610,NSW528856,10,fullLeaf,74,3226,3.58,100,3.33,53,1.77,6,,,,,,,,,,,0,0,0,0,0,NSW528856,Syzygium johnsonii,Australia,-17.53,-17.53,145.55,
611,NSW528857,1,fullLeaf,98,5636,6.26,140,4.67,63,2.1,9,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,2,fullLeaf,98,5946,6.61,140,4.67,63,2.1,130,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,3,fullLeaf,97,6304,7,144,4.8,70,2.33,145,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,4,fullLeaf,96,8465,9.41,168,5.6,74,2.47,2,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,5,fullLeaf,94,4934,5.48,106,3.53,65,2.17,116,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,6,fullLeaf,93,4555,5.06,106,3.53,63,2.1,59,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,7,fullLeaf,91,4585,5.09,142,4.73,54,1.8,0,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,8,fullLeaf,91,6836,7.6,156,5.2,68,2.27,40,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,9,fullLeaf,86,3884,4.32,108,3.6,55,1.83,17,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,10,fullLeaf,84,6251,6.95,130,4.33,71,2.37,107,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
611,NSW528857,11,fullLeaf,73,4331,4.81,142,4.73,48,1.6,126,,,,,,,,,,,0,0,0,0,0,NSW528857,Syzygium johnsonii,Australia,-17.37,-17.37,145.58,
612,NSW528858,1,fullLeaf,93,27266,30.3,282,9.4,139,4.63,159,,,,,,,,,,,0,0,0,0,0,NSW528858,Syzygium johnsonii,Australia,-21.1583,-21.1583,148.5083,1600
612,NSW528858,2,fullLeaf,92,29825,33.14,262,8.73,163,5.43,50,,,,,,,,,,,0,0,0,0,0,NSW528858,Syzygium johnsonii,Australia,-21.1583,-21.1583,148.5083,1600
612,NSW528858,3,fullLeaf,82,18261,20.29,232,7.73,137,4.57,162,,,,,,,,,,,0,0,0,0,0,NSW528858,Syzygium johnsonii,Australia,-21.1583,-21.1583,148.5083,1600
612,NSW528858,4,fullLeaf,76,17985,19.98,216,7.2,136,4.53,17,,,,,,,,,,,0,0,0,0,0,NSW528858,Syzygium johnsonii,Australia,-21.1583,-21.1583,148.5083,1600
613,NSW528859,1,fullLeaf,94,8710,9.68,182,6.07,72,2.4,105,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,2,fullLeaf,93,11277,12.53,206,6.87,83,2.77,105,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,3,fullLeaf,92,9723,10.8,178,5.93,79,2.63,25,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,4,fullLeaf,91,10789,11.99,164,5.47,99,3.3,146,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,5,fullLeaf,90,8312,9.24,186,6.2,71,2.37,98,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,6,fullLeaf,89,12629,14.03,210,7,94,3.13,104,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,7,fullLeaf,85,10076,11.2,184,6.13,92,3.07,156,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
613,NSW528859,8,fullLeaf,74,1998,2.22,80,2.67,43,1.43,15,,,,,,,,,,,0,0,0,0,0,NSW528859,Syzygium johnsonii,Australia,-16.7583,-16.7583,145.6083,1600
614,NSW528860,1,fullLeaf,97,9224,10.25,168,5.6,84,2.8,151,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
614,NSW528860,2,fullLeaf,96,13174,14.64,186,6.2,99,3.3,0,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
614,NSW528860,3,fullLeaf,94,5091,5.66,142,4.73,60,2,15,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
614,NSW528860,4,fullLeaf,92,3798,4.22,142,4.73,42,1.4,148,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
614,NSW528860,5,fullLeaf,91,7336,8.15,152,5.07,72,2.4,48,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
614,NSW528860,6,fullLeaf,90,3578,3.98,100,3.33,52,1.73,151,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
614,NSW528860,7,fullLeaf,87,7073,7.86,158,5.27,68,2.27,94,,,,,,,,,,,0,0,0,0,0,NSW528860,Syzygium johnsonii,Australia,-16.525,-16.525,145.275,1600
